TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold,cohort,rule
103,0,11,5,0.907563025210084,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7127496159754225,0.875,0.755233248096066,CNN(untrained)+clinical+RF,9,complete-case,@0.5
103,0,13,3,0.8907563025210085,0.1875,1.0,1.0,0.3157894736842105,0.59375,0.6282143715453017,0.875,0.755233248096066,CNN(untrained)+clinical+RF,9,complete-case,@tuned
102,1,12,4,0.8907563025210085,0.25,0.9902912621359223,0.8,0.38095238095238093,0.6201456310679612,0.6605222734254992,0.8810679611650485,0.7217116498543386,CNN+BiLSTM(untrained)+clinical+RF [as published],9,complete-case,@0.5
103,0,12,4,0.8991596638655462,0.25,1.0,1.0,0.4,0.625,0.6724770642201835,0.8810679611650485,0.7217116498543386,CNN+BiLSTM(untrained)+clinical+RF [as published],9,complete-case,@tuned
102,1,11,5,0.8991596638655462,0.3125,0.9902912621359223,0.8333333333333334,0.45454545454545453,0.6513956310679612,0.6994949494949495,0.8674150485436894,0.7455960623781694,CNN(trained)+clinical+RF,9,complete-case,@0.5
103,0,13,3,0.8907563025210085,0.1875,1.0,1.0,0.3157894736842105,0.59375,0.6282143715453017,0.8674150485436894,0.7455960623781694,CNN(trained)+clinical+RF,9,complete-case,@tuned
102,1,11,5,0.8991596638655462,0.3125,0.9902912621359223,0.8333333333333334,0.45454545454545453,0.6513956310679612,0.6994949494949495,0.8510315533980585,0.697452419799167,CNN+BiLSTM(trained)+clinical+RF [proposed],9,complete-case,@0.5
102,1,12,4,0.8907563025210085,0.25,0.9902912621359223,0.8,0.38095238095238093,0.6201456310679612,0.6605222734254992,0.8510315533980585,0.697452419799167,CNN+BiLSTM(trained)+clinical+RF [proposed],9,complete-case,@tuned
595,423,39,72,0.5907883082373782,0.6486486486486487,0.5844793713163065,0.14545454545454545,0.23762376237623759,0.6165640099824776,0.4789813727135425,0.6437193578647409,0.1437556510886458,RF on clinical features only [baseline],0,full-imputed,@0.5
993,25,108,3,0.8821966341895483,0.02702702702702703,0.9754420432220039,0.10714285714285714,0.043165467625899276,0.5012345351245154,0.49020000611120357,0.6437193578647409,0.1437556510886458,RF on clinical features only [baseline],0,full-imputed,@tuned
596,422,42,69,0.5890168290522586,0.6216216216216216,0.5854616895874263,0.14052953156822812,0.2292358803986711,0.6035416556045239,0.4745213218418476,0.643949450432751,0.14157818154011848,CNN(untrained)+clinical+RF,0,full-imputed,@0.5
993,25,107,4,0.8830823737821081,0.036036036036036036,0.9754420432220039,0.13793103448275862,0.05714285714285714,0.50573903962902,0.49740995548360983,0.643949450432751,0.14157818154011848,CNN(untrained)+clinical+RF,0,full-imputed,@tuned
598,420,38,73,0.5943312666076174,0.6576576576576577,0.587426326129666,0.14807302231237324,0.24172185430463575,0.6225419918936619,0.4824086901511087,0.6593258287757306,0.178516527663857,CNN+BiLSTM(untrained)+clinical+RF [as published],0,full-imputed,@0.5
993,25,105,6,0.8848538529672276,0.05405405405405406,0.9754420432220039,0.1935483870967742,0.08450704225352113,0.5147480486380289,0.5115351846428287,0.6593258287757306,0.178516527663857,CNN+BiLSTM(untrained)+clinical+RF [as published],0,full-imputed,@tuned
546,471,42,70,0.545615589016829,0.625,0.5368731563421829,0.12939001848428835,0.21439509954058192,0.5809365781710915,0.44738446565814144,0.6192188158449221,0.135865394515342,RF on clinical features only [baseline],1,full-imputed,@0.5
912,105,100,12,0.8184233835252436,0.10714285714285714,0.8967551622418879,0.10256410256410256,0.10480349344978167,0.5019490096923725,0.501884250421293,0.6192188158449221,0.135865394515342,RF on clinical features only [baseline],1,full-imputed,@tuned
548,469,42,70,0.5473870682019486,0.625,0.5388397246804326,0.12987012987012986,0.2150537634408602,0.5819198623402163,0.44853497132839526,0.6228841831717938,0.14872120415197168,CNN(untrained)+clinical+RF,1,full-imputed,@0.5
913,104,97,15,0.8219663418954827,0.13392857142857142,0.8977384464110127,0.12605042016806722,0.12987012987012986,0.5158335089197921,0.5153544038595839,0.6228841831717938,0.14872120415197168,CNN(untrained)+clinical+RF,1,full-imputed,@tuned
